Data;ROBID overnight (% p.a.) BBZ_BIDON;ROBID tomorrow next (% p.a.) BBZ_BIDTM;ROBID 1 săptămână (% p.a.) BBZ_BID1W;ROBID 1 lună (% p.a.) BBZ_BID1M;ROBID 3 luni (% p.a.) BBZ_BID3M;ROBID 6 luni (% p.a.) BBZ_BID6M;ROBID 9 luni (% p.a.) BBZ_BID9M;ROBID 12 luni (% p.a.) BBZ_BID12M;ROBOR overnight (% p.a.) BBZ_BORON;ROBOR tomorrow next (% p.a.) BBZ_BORTM;ROBOR 1 săptămână (% p.a.) BBZ_BOR1W;ROBOR 1 lună (% p.a.) BBZ_BOR1M;ROBOR 3 luni (% p.a.) BBZ_BOR3M;ROBOR 6 luni (% p.a.) BBZ_BOR6M;ROBOR 9 luni (% p.a.) BBZ_BOR9M;ROBOR 12 luni (% p.a.) BBZ_BOR12M
29.05.2023;5,76;5,76;5,77;5,82;6,25;6,30;-;6,50;6,05;6,05;6,06;6,12;6,55;6,65;-;6,85
26.05.2023;5,76;5,76;5,76;5,83;6,25;6,31;-;6,52;6,05;6,05;6,05;6,12;6,55;6,65;-;6,86
25.05.2023;5,75;5,75;5,76;5,83;6,25;6,31;-;6,52;6,04;6,04;6,05;6,12;6,55;6,66;-;6,85
24.05.2023;5,75;5,75;5,76;5,83;6,25;6,32;-;6,53;6,04;6,04;6,05;6,12;6,55;6,66;-;6,86
23.05.2023;5,74;5,74;5,75;5,80;6,26;6,33;-;6,53;6,03;6,03;6,05;6,10;6,56;6,67;-;6,86
22.05.2023;5,74;5,74;5,75;5,81;6,28;6,32;-;6,53;6,03;6,03;6,05;6,10;6,58;6,67;-;6,87
19.05.2023;5,74;5,74;5,75;5,81;6,29;6,33;-;6,55;6,03;6,03;6,05;6,10;6,58;6,68;-;6,89
18.05.2023;5,74;5,74;5,76;5,82;6,29;6,35;-;6,56;6,02;6,02;6,05;6,11;6,59;6,69;-;6,90
17.05.2023;5,73;5,73;5,75;5,82;6,30;6,37;-;6,60;6,02;6,02;6,05;6,11;6,60;6,71;-;6,94
16.05.2023;5,74;5,74;5,75;5,83;6,30;6,40;-;6,62;6,03;6,03;6,05;6,12;6,60;6,74;-;6,95
15.05.2023;5,74;5,75;5,75;5,83;6,32;6,42;-;6,64;6,04;6,04;6,05;6,12;6,62;6,76;-;6,98
12.05.2023;5,74;5,75;5,76;5,84;6,34;6,44;-;6,67;6,04;6,04;6,06;6,14;6,64;6,78;-;7,01
11.05.2023;5,74;5,74;5,76;5,84;6,35;6,44;-;6,68;6,04;6,04;6,06;6,13;6,65;6,79;-;7,01
10.05.2023;5,75;5,75;5,77;5,83;6,35;6,45;-;6,68;6,03;6,03;6,07;6,13;6,65;6,79;-;7,02
09.05.2023;5,75;5,75;5,77;5,83;6,35;6,45;-;6,68;6,03;6,03;6,07;6,13;6,65;6,79;-;7,02
08.05.2023;5,74;5,74;5,76;5,83;6,36;6,45;-;6,70;6,03;6,03;6,06;6,13;6,66;6,79;-;7,03
05.05.2023;5,74;5,74;5,77;5,83;6,36;6,45;-;6,70;6,03;6,03;6,06;6,13;6,66;6,79;-;7,04
04.05.2023;5,74;5,74;5,76;5,83;6,36;6,45;-;6,70;6,03;6,03;6,06;6,13;6,66;6,80;-;7,04
03.05.2023;5,73;5,73;5,76;5,83;6,38;6,48;-;6,73;6,02;6,02;6,05;6,12;6,68;6,82;-;7,06
02.05.2023;5,73;5,73;5,76;5,83;6,40;6,50;-;6,75;6,03;6,03;6,06;6,12;6,70;6,84;-;7,08
28.04.2023;5,74;5,74;5,78;5,83;6,41;6,52;-;6,78;6,04;6,04;6,07;6,12;6,71;6,86;-;7,12
27.04.2023;5,74;5,74;5,77;5,84;6,43;6,54;-;6,83;6,03;6,03;6,07;6,13;6,73;6,88;-;7,17
26.04.2023;5,74;5,74;5,78;5,85;6,45;6,58;-;6,92;6,03;6,03;6,07;6,15;6,74;6,92;-;7,25
25.04.2023;5,75;5,75;5,80;5,87;6,45;6,60;-;6,94;6,04;6,04;6,09;6,16;6,75;6,94;-;7,28
24.04.2023;5,74;5,74;5,79;5,88;6,46;6,60;-;6,95;6,04;6,04;6,09;6,17;6,76;6,95;-;7,29
21.04.2023;5,74;5,75;5,80;5,89;6,48;6,63;-;6,98;6,03;6,04;6,10;6,19;6,78;6,97;-;7,32
